run_name,fpr,tpr
xgb-d4-lr10-n300,0.5665696905580534,0.9897959183673469
xgb-d4-lr10-n300,0.5722295688971172,0.9897959183673469
xgb-d4-lr10-n300,0.5792647447765141,0.9897959183673469
xgb-d4-lr10-n300,0.5850127832143172,0.9897959183673469
xgb-d4-lr10-n300,0.589262099973552,0.9897959183673469
xgb-d4-lr10-n300,0.5911310940668254,0.9897959183673469
xgb-d4-lr10-n300,0.5922066472714449,0.9897959183673469
xgb-d4-lr10-n300,0.5932645684563167,0.9897959183673469
xgb-d4-lr10-n300,0.5988186546768932,0.9897959183673469
xgb-d4-lr10-n300,0.6053601340033501,0.9897959183673469
xgb-d4-lr10-n300,0.6084633694789738,0.9897959183673469
xgb-d4-lr10-n300,0.6138940315613154,0.9897959183673469
xgb-d4-lr10-n300,0.6242792911928061,0.9897959183673469
xgb-d4-lr10-n300,0.6299744335713656,0.9897959183673469
xgb-d4-lr10-n300,0.6338534779158953,0.9897959183673469
xgb-d4-lr10-n300,0.6433395045402451,0.9897959183673469
xgb-d4-lr10-n300,0.6479943577536806,0.9897959183673469
xgb-d4-lr10-n300,0.6517499779599754,0.9897959183673469
xgb-d4-lr10-n300,0.6549766375738341,0.9897959183673469
xgb-d4-lr10-n300,0.6583267213259278,0.9897959183673469
xgb-d4-lr10-n300,0.6610420523670987,0.9897959183673469
xgb-d4-lr10-n300,0.6698580622410297,0.9897959183673469
xgb-d4-lr10-n300,0.6763995415674866,0.9897959183673469
xgb-d4-lr10-n300,0.6797496253195804,0.9897959183673469
xgb-d4-lr10-n300,0.6866437450409945,0.9897959183673469
xgb-d4-lr10-n300,0.6922154632813189,0.9897959183673469
xgb-d4-lr10-n300,0.6973640130476946,0.9897959183673469
xgb-d4-lr10-n300,0.701401745569955,0.9897959183673469
xgb-d4-lr10-n300,0.7039936524728908,0.9897959183673469
xgb-d4-lr10-n300,0.7097593229304416,0.9897959183673469
xgb-d4-lr10-n300,0.7141496958476593,0.9897959183673469
xgb-d4-lr10-n300,0.7189808692585735,0.9897959183673469
xgb-d4-lr10-n300,0.7206911751741162,0.9897959183673469
xgb-d4-lr10-n300,0.7240588909459579,0.9897959183673469
xgb-d4-lr10-n300,0.7259278850392312,0.9897959183673469
xgb-d4-lr10-n300,0.7321343559904787,0.9897959183673469
xgb-d4-lr10-n300,0.7371242175791237,0.9897959183673469
xgb-d4-lr10-n300,0.7396632284228158,0.9897959183673469
xgb-d4-lr10-n300,0.7426254077404567,0.9897959183673469
xgb-d4-lr10-n300,0.7478444855858238,0.9897959183673469
xgb-d4-lr10-n300,0.7516706338711099,0.9897959183673469
xgb-d4-lr10-n300,0.7539980604778277,0.9897959183673469
xgb-d4-lr10-n300,0.7559199506303447,0.9897959183673469
xgb-d4-lr10-n300,0.7583179053160539,0.9897959183673469
xgb-d4-lr10-n300,0.7632901348849511,0.9897959183673469
xgb-d4-lr10-n300,0.7668165388345235,0.9897959183673469
xgb-d4-lr10-n300,0.7685797408093097,1.0
xgb-d4-lr10-n300,0.7726703693908137,1.0
xgb-d4-lr10-n300,0.776866790090805,1.0
xgb-d4-lr10-n300,0.7807987304945782,1.0
xgb-d4-lr10-n300,0.784519086661377,1.0
xgb-d4-lr10-n300,0.7902142290399365,1.0
xgb-d4-lr10-n300,0.7924358635281672,1.0
xgb-d4-lr10-n300,0.7955390990037909,1.0
xgb-d4-lr10-n300,0.7983249581239531,1.0
xgb-d4-lr10-n300,0.8054659261218372,1.0
xgb-d4-lr10-n300,0.8095389226835934,1.0
xgb-d4-lr10-n300,0.8122189896852684,1.0
xgb-d4-lr10-n300,0.8154809133386229,1.0
xgb-d4-lr10-n300,0.8221987128625584,1.0
xgb-d4-lr10-n300,0.8261835493255753,1.0
xgb-d4-lr10-n300,0.8302565458873314,1.0
xgb-d4-lr10-n300,0.8354756237326986,1.0
xgb-d4-lr10-n300,0.8434100326192365,1.0
xgb-d4-lr10-n300,0.8505686326368685,1.0
xgb-d4-lr10-n300,0.8552587498897999,1.0
xgb-d4-lr10-n300,0.861641541038526,1.0
xgb-d4-lr10-n300,0.8656087454817949,1.0
xgb-d4-lr10-n300,0.8700343824385083,1.0
xgb-d4-lr10-n300,0.8756237326985806,1.0
xgb-d4-lr10-n300,0.8810191307414265,1.0
xgb-d4-lr10-n300,0.8866437450409944,1.0
xgb-d4-lr10-n300,0.8899233007140968,1.0
xgb-d4-lr10-n300,0.8930618002292162,1.0
xgb-d4-lr10-n300,0.8951247465397161,1.0
xgb-d4-lr10-n300,0.8979106056598783,1.0
xgb-d4-lr10-n300,0.9009962091157542,1.0
xgb-d4-lr10-n300,0.903976020453143,1.0
xgb-d4-lr10-n300,0.9059860707043992,1.0
xgb-d4-lr10-n300,0.9104117076611126,1.0
xgb-d4-lr10-n300,0.9147668165388345,1.0
xgb-d4-lr10-n300,0.917640835757736,1.0
xgb-d4-lr10-n300,0.9197743101472273,1.0
xgb-d4-lr10-n300,0.9224014810896588,1.0
xgb-d4-lr10-n300,0.9247112756766288,1.0
xgb-d4-lr10-n300,0.9288371682976285,1.0
xgb-d4-lr10-n300,0.9328925328396368,1.0
xgb-d4-lr10-n300,0.9380939786652561,1.0
xgb-d4-lr10-n300,0.9415322225160893,1.0
xgb-d4-lr10-n300,0.94449440183373,1.0
xgb-d4-lr10-n300,0.9488318786917042,1.0
xgb-d4-lr10-n300,0.9505245525874989,1.0
xgb-d4-lr10-n300,0.9536101560433747,1.0
xgb-d4-lr10-n300,0.9564841752622762,1.0
xgb-d4-lr10-n300,0.9590937141849599,1.0
xgb-d4-lr10-n300,0.963043286608481,1.0
xgb-d4-lr10-n300,0.9655646654324253,1.0
xgb-d4-lr10-n300,0.9697787181521643,1.0
xgb-d4-lr10-n300,0.9740104028916512,1.0
xgb-d4-lr10-n300,0.9761615093008904,1.0
xgb-d4-lr10-n300,0.9780481354139117,1.0
