run_name,precision,recall
xgb-d4-lr10-n300,0.004632282712511939,0.9897959183673469
xgb-d4-lr10-n300,0.0046957447838505105,0.9897959183673469
xgb-d4-lr10-n300,0.004760736196319018,0.9897959183673469
xgb-d4-lr10-n300,0.004827311635314024,0.9897959183673469
xgb-d4-lr10-n300,0.004895281352510724,0.9897959183673469
xgb-d4-lr10-n300,0.004965700829323232,0.9897959183673469
xgb-d4-lr10-n300,0.0050392228167697025,0.9897959183673469
xgb-d4-lr10-n300,0.005117383276180427,0.9897959183673469
xgb-d4-lr10-n300,0.005195779099041191,0.9897959183673469
xgb-d4-lr10-n300,0.005276327241079199,0.9897959183673469
xgb-d4-lr10-n300,0.005359116022099448,0.9897959183673469
xgb-d4-lr10-n300,0.005444238648481787,0.9897959183673469
xgb-d4-lr10-n300,0.005473516163977421,0.9795918367346939
xgb-d4-lr10-n300,0.005563282336578581,0.9795918367346939
xgb-d4-lr10-n300,0.005657708628005658,0.9795918367346939
xgb-d4-lr10-n300,0.005694419468920458,0.9693877551020408
xgb-d4-lr10-n300,0.005792329735991707,0.9693877551020408
xgb-d4-lr10-n300,0.00589403151755801,0.9693877551020408
xgb-d4-lr10-n300,0.006002400960384154,0.9693877551020408
xgb-d4-lr10-n300,0.0061148300720906285,0.9693877551020408
xgb-d4-lr10-n300,0.006227058206607236,0.9693877551020408
xgb-d4-lr10-n300,0.006348145673237555,0.9693877551020408
xgb-d4-lr10-n300,0.006471389645776567,0.9693877551020408
xgb-d4-lr10-n300,0.006598138630365328,0.9693877551020408
xgb-d4-lr10-n300,0.006731382413377737,0.9693877551020408
xgb-d4-lr10-n300,0.006867635364707583,0.9693877551020408
xgb-d4-lr10-n300,0.007014176018901358,0.9693877551020408
xgb-d4-lr10-n300,0.007161703731624576,0.9693877551020408
xgb-d4-lr10-n300,0.007316134000770119,0.9693877551020408
xgb-d4-lr10-n300,0.007479137143756889,0.9693877551020408
xgb-d4-lr10-n300,0.007648337492955478,0.9693877551020408
xgb-d4-lr10-n300,0.007743636213856166,0.9591836734693877
xgb-d4-lr10-n300,0.007933828494260635,0.9591836734693877
xgb-d4-lr10-n300,0.008125162071051949,0.9591836734693877
xgb-d4-lr10-n300,0.008326689697936044,0.9591836734693877
xgb-d4-lr10-n300,0.00854623147558869,0.9591836734693877
xgb-d4-lr10-n300,0.00877356729512787,0.9591836734693877
xgb-d4-lr10-n300,0.00892514395393474,0.9489795918367347
xgb-d4-lr10-n300,0.009169788996253205,0.9489795918367347
xgb-d4-lr10-n300,0.009433005375798763,0.9489795918367347
xgb-d4-lr10-n300,0.009710765375378511,0.9489795918367347
xgb-d4-lr10-n300,0.010003226847370119,0.9489795918367347
xgb-d4-lr10-n300,0.01031385161361872,0.9489795918367347
xgb-d4-lr10-n300,0.010649261422191686,0.9489795918367347
xgb-d4-lr10-n300,0.011007219789324181,0.9489795918367347
xgb-d4-lr10-n300,0.011384502387073081,0.9489795918367347
xgb-d4-lr10-n300,0.011796042617960426,0.9489795918367347
xgb-d4-lr10-n300,0.012230405049973699,0.9489795918367347
xgb-d4-lr10-n300,0.012561441835062807,0.9387755102040817
xgb-d4-lr10-n300,0.013071895424836602,0.9387755102040817
xgb-d4-lr10-n300,0.01361349511689849,0.9387755102040817
xgb-d4-lr10-n300,0.01421068890948409,0.9387755102040817
xgb-d4-lr10-n300,0.014853083629318696,0.9387755102040817
xgb-d4-lr10-n300,0.01555367709213863,0.9387755102040817
xgb-d4-lr10-n300,0.016323633782824698,0.9387755102040817
xgb-d4-lr10-n300,0.01717699775952203,0.9387755102040817
xgb-d4-lr10-n300,0.018120937561552097,0.9387755102040817
xgb-d4-lr10-n300,0.0191866527632951,0.9387755102040817
xgb-d4-lr10-n300,0.02037201062887511,0.9387755102040817
xgb-d4-lr10-n300,0.021739130434782608,0.9387755102040817
xgb-d4-lr10-n300,0.023273463192512018,0.9387755102040817
xgb-d4-lr10-n300,0.025047644976858154,0.9387755102040817
xgb-d4-lr10-n300,0.027130639929224418,0.9387755102040817
xgb-d4-lr10-n300,0.029581993569131833,0.9387755102040817
xgb-d4-lr10-n300,0.032520325203252036,0.9387755102040817
xgb-d4-lr10-n300,0.03570027461749706,0.9285714285714286
xgb-d4-lr10-n300,0.04008810572687225,0.9285714285714286
xgb-d4-lr10-n300,0.04591321897073663,0.9285714285714286
xgb-d4-lr10-n300,0.05384615384615385,0.9285714285714286
xgb-d4-lr10-n300,0.06325515280739161,0.9081632653061225
xgb-d4-lr10-n300,0.07897071872227152,0.9081632653061225
xgb-d4-lr10-n300,0.10451306413301663,0.8979591836734694
xgb-d4-lr10-n300,0.15602836879432624,0.8979591836734694
xgb-d4-lr10-n300,0.3120567375886525,0.8979591836734694
xgb-d4-lr10-n300,1.0,0.0
xgb-d6-lr05-n500,0.0017283645791079522,1.0
xgb-d6-lr05-n500,0.001738205037247251,1.0
xgb-d6-lr05-n500,0.0017480958241915057,1.0
xgb-d6-lr05-n500,0.0017574692442882249,1.0
xgb-d6-lr05-n500,0.001767134897307824,1.0
xgb-d6-lr05-n500,0.0017765531243768469,1.0
xgb-d6-lr05-n500,0.0017861373867716478,1.0
xgb-d6-lr05-n500,0.0017955294979846098,1.0
xgb-d6-lr05-n500,0.001805020905089054,1.0
xgb-d6-lr05-n500,0.001814478800222181,1.0
xgb-d6-lr05-n500,0.0018241381877745514,1.0
xgb-d6-lr05-n500,0.001834106902230873,1.0
xgb-d6-lr05-n500,0.0018440116661962555,1.0
xgb-d6-lr05-n500,0.0018538836971737733,1.0
xgb-d6-lr05-n500,0.0018640392589492905,1.0
xgb-d6-lr05-n500,0.0018743425456631921,1.0
xgb-d6-lr05-n500,0.001884470425351896,1.0
xgb-d6-lr05-n500,0.0018948548889189658,1.0
xgb-d6-lr05-n500,0.0019054285269870898,1.0
xgb-d6-lr05-n500,0.0019163081736409855,1.0
xgb-d6-lr05-n500,0.0019270853816808905,1.0
xgb-d6-lr05-n500,0.001937869529967768,1.0
xgb-d6-lr05-n500,0.001949395289624443,1.0
xgb-d6-lr05-n500,0.0019605097325304578,1.0
xgb-d6-lr05-n500,0.001971910338444203,1.0
xgb-d6-lr05-n500,0.0019832034807244765,1.0
xgb-d6-lr05-n500,0.0019947079177691836,1.0
xgb-d6-lr05-n500,0.0020062233868326238,1.0
xgb-d6-lr05-n500,0.0020181219110378913,1.0
xgb-d6-lr05-n500,0.002030036250647333,1.0
xgb-d6-lr05-n500,0.0020421346558586345,1.0
xgb-d6-lr05-n500,0.0020542489414329436,1.0
xgb-d6-lr05-n500,0.002067336089781453,1.0
xgb-d6-lr05-n500,0.002079663858413089,1.0
xgb-d6-lr05-n500,0.002092273532739811,1.0
xgb-d6-lr05-n500,0.002105037052948126,1.0
xgb-d6-lr05-n500,0.002118506668972524,1.0
xgb-d6-lr05-n500,0.0021319178558997566,1.0
xgb-d6-lr05-n500,0.002145124220203568,1.0
xgb-d6-lr05-n500,0.002158542763375256,1.0
xgb-d6-lr05-n500,0.0021720339546532504,1.0
xgb-d6-lr05-n500,0.002185938615274804,1.0
xgb-d6-lr05-n500,0.0021998742928975488,1.0
xgb-d6-lr05-n500,0.0022142889421121604,1.0
xgb-d6-lr05-n500,0.0022284882663270874,1.0
xgb-d6-lr05-n500,0.002242819544570317,1.0
xgb-d6-lr05-n500,0.0022572843487273985,1.0
xgb-d6-lr05-n500,0.002272411074525808,1.0
xgb-d6-lr05-n500,0.0022874215157668697,1.0
xgb-d6-lr05-n500,0.002302848012031206,1.0
xgb-d6-lr05-n500,0.002318483995363032,1.0
xgb-d6-lr05-n500,0.002333944604539284,1.0
xgb-d6-lr05-n500,0.0023500071938995734,1.0
xgb-d6-lr05-n500,0.0023662924061330437,1.0
xgb-d6-lr05-n500,0.002382689034767809,1.0
xgb-d6-lr05-n500,0.002399197003451906,1.0
xgb-d6-lr05-n500,0.002416114001134094,1.0
